YearTerm,CrsPBADept,CrsPBAColl,CrsPBADiv,Subject,Course,CourseTitle,Level,CrsLvlNum,Activity_Type,Instruction_Mode,Hours,N_EOT,N_ENROLL,N_GRADE,PCT_GRADE,AVG_GRD,PCT_A,PCT_B,PCT_C,PCT_D,PCT_F,PCT_C_MINUS_OR_BELOW,PCT_DF,PCT_WDRAW,PCT_INCOMP,N_PASS,N_NOCRED,N_INCOMP,Workload_Raw,Workload_Hrs_Wk,AvgCourse,AvgInstructor,N_Ret,NIntrFCQ,RAP,Honors,insname1
20067,APPM,AS,NS,APPM,1340,CALCULUS 1A WITH ALGEBRA,Lower,1XXX,LEC - Lecture,,3,41,42,41,100%,2.61,22%,32%,39%,2%,5%,20%,7%,2%,0%,0,0,0,3.18,9-Jul,5.31,5.52,29,1,0,0,"NELSON, MARY A"
20067,APPM,AS,NS,APPM,1340,CALCULUS 1A WITH ALGEBRA,Lower,1XXX,LEC - Lecture,,3,32,34,32,100%,2.28,13%,22%,56%,6%,3%,34%,9%,6%,0%,0,0,0,2.48,6-Apr,4.89,5.46,28,1,0,0,"BYRNE, ERIN C"
20067,APPM,AS,NS,APPM,1350,CALCULUS 1 FOR ENGINEERS GT-MA1,Lower,1XXX,LEC - Lecture,,4,121,133,121,100%,2.61,20%,36%,32%,8%,4%,16%,12%,9%,0%,0,0,0,3.22,9-Jul,4.95,5.26,88,1,0,0,"NELSON, MARY A"
20067,APPM,AS,NS,APPM,1350,CALCULUS 1 FOR ENGINEERS GT-MA1,Lower,1XXX,LEC - Lecture,,4,115,124,114,99%,2.36,15%,38%,29%,6%,12%,25%,18%,7%,1%,0,0,1,2.89,9-Jul,4.51,4.84,58,1,0,0,"SEGUR, HARVEY"
20067,APPM,AS,NS,APPM,1350,CALCULUS 1 FOR ENGINEERS GT-MA1,Lower,1XXX,LEC - Lecture,,4,89,95,89,100%,2.72,21%,40%,29%,3%,6%,15%,9%,6%,0%,0,0,0,3.28,9-Jul,4.58,4.93,60,1,0,0,"HALLOWELL, SUSAN FRALEY"
20067,APPM,AS,NS,APPM,1350,CALCULUS 1 FOR ENGINEERS GT-MA1,Lower,1XXX,LEC - Lecture,,4,70,73,70,100%,2.24,7%,34%,41%,9%,9%,21%,17%,4%,0%,0,0,0,3.1,9-Jul,4.19,4.24,41,1,0,0,"RADULESCU, ANCA R"
20067,APPM,AS,NS,APPM,1350,CALCULUS 1 FOR ENGINEERS GT-MA1,Lower,1XXX,LEC - Lecture,,4,113,120,113,100%,2.43,19%,30%,35%,8%,8%,24%,16%,6%,0%,0,0,0,3.25,9-Jul,5.06,5.34,70,1,0,0,"TEARLE, MATTHEW O"
20067,APPM,AS,NS,APPM,1360,CALCULUS 2 FOR ENGINEERS,Lower,1XXX,LEC - Lecture,,4,70,75,70,100%,2.1,20%,33%,16%,0%,31%,34%,31%,7%,0%,0,0,0,3.27,9-Jul,4.09,4.14,42,1,0,0,"HORIKIS, THEODOROS"
20067,APPM,AS,NS,APPM,1360,CALCULUS 2 FOR ENGINEERS,Lower,1XXX,LEC - Lecture,,4,114,126,114,100%,1.91,11%,32%,27%,4%,26%,41%,30%,10%,0%,0,0,0,3.19,9-Jul,4.66,5.2,61,1,0,0,"ABLOWITZ, MARK J"
20067,APPM,AS,NS,APPM,1360,CALCULUS 2 FOR ENGINEERS,Lower,1XXX,LEC - Lecture,,4,89,96,89,100%,1.96,13%,27%,27%,9%,24%,43%,33%,7%,0%,0,0,0,3.35,9-Jul,4.17,4.74,66,1,0,0,"ABLOWITZ, MARK J"
20067,APPM,AS,NS,APPM,2350,CALCULUS 3 FOR ENGINEERS,Lower,2XXX,LEC - Lecture,,4,132,141,132,100%,2.26,7%,33%,48%,4%,8%,20%,12%,6%,0%,0,0,0,3.73,12-Oct,4.54,5.03,88,1,0,0,"NORRIS, JAN ADAM"
20067,APPM,AS,NS,APPM,2350,CALCULUS 3 FOR ENGINEERS,Lower,2XXX,LEC - Lecture,,4,135,141,135,100%,2.21,8%,31%,45%,4%,11%,20%,16%,4%,0%,0,0,0,3.47,9-Jul,4,4.67,81,1,0,0,"SANDERS, GEOFFREY D"
20067,APPM,AS,NS,APPM,2350,CALCULUS 3 FOR ENGINEERS,Lower,2XXX,LEC - Lecture,,4,112,115,111,99%,2.33,6%,40%,43%,2%,9%,18%,11%,3%,1%,0,0,1,3.66,12-Oct,4.47,5.07,91,1,0,0,"NORRIS, JAN ADAM"
20067,APPM,AS,NS,APPM,2360,INTRO DIFF EQ W/LIN ALG,Lower,2XXX,LEC - Lecture,,4,45,50,43,96%,2.65,33%,22%,20%,11%,9%,22%,20%,10%,0%,2,0,0,3.19,9-Jul,4.38,5.19,26,1,0,0,"PRENTICE, JOHN KEITH"
20067,APPM,AS,NS,APPM,2360,INTRO DIFF EQ W/LIN ALG,Lower,2XXX,LEC - Lecture,,4,110,116,108,98%,2.33,22%,23%,30%,19%,6%,31%,25%,5%,0%,0,0,0,3.23,9-Jul,3.63,3.45,39,1,0,0,"BORTZ, DAVID MATTHEW"
20067,APPM,AS,NS,APPM,2360,INTRO DIFF EQ W/LIN ALG,Lower,2XXX,LEC - Lecture,,4,139,148,137,99%,2.34,18%,30%,33%,11%,9%,29%,20%,6%,1%,0,1,1,2.9,9-Jul,4.6,5.56,118,1,0,0,"TEARLE, MATTHEW O"
20067,APPM,AS,NS,APPM,2450,CALCULUS 3 COMPUTER LAB,Lower,2XXX,LEC - Lecture,,1,26,26,,,,,,,,,,,,,26,0,0,1.23,0-3,4.17,4.58,25,1,0,0,"SIMPSON, DAVID JW"
20067,APPM,AS,NS,APPM,2450,CALCULUS 3 COMPUTER LAB,Lower,2XXX,LEC - Lecture,,1,26,26,,,,,,,,,,,,,26,0,0,2.11,6-Apr,4,3.11,9,1,0,0,"LOUGHRY, BRYAN"
20067,APPM,AS,NS,APPM,2450,CALCULUS 3 COMPUTER LAB,Lower,2XXX,LEC - Lecture,,1,23,23,,,,,,,,,,,,,23,0,0,1.13,0-3,4.4,5.13,15,1,0,0,"KURCZ, CHRISTOPHER E"
20067,APPM,AS,NS,APPM,2450,CALCULUS 3 COMPUTER LAB,Lower,2XXX,LEC - Lecture,,1,25,26,,,,,,,,,,,,,24,1,0,1,0-3,4.5,5,18,1,0,0,"LOUGHRY, BRYAN"
20067,APPM,AS,NS,APPM,2460,DIFF EQ COMPUTER LAB,Lower,2XXX,LEC - Lecture,,1,26,26,,,,,,,,,,,,,24,0,0,1.17,0-3,3.95,4.42,19,1,0,0,"YOUNG, PATRICK M"
20067,APPM,AS,NS,APPM,2460,DIFF EQ COMPUTER LAB,Lower,2XXX,LEC - Lecture,,1,14,15,,,,,,,,,,,,,11,0,0,1.11,0-3,4.6,5.6,10,1,0,0,"PLAKALOVIC, DRAGAN"
20067,APPM,AS,NS,APPM,2460,DIFF EQ COMPUTER LAB,Lower,2XXX,LEC - Lecture,,1,12,13,,,,,,,,,,,,,10,0,1,2,6-Apr,5.43,5.86,7,1,0,0,"PLAKALOVIC, DRAGAN"
20067,APPM,AS,NS,APPM,2460,DIFF EQ COMPUTER LAB,Lower,2XXX,LEC - Lecture,,1,13,15,,,,,,,,,,,,,13,0,0,1.57,6-Apr,4.38,5.13,8,1,0,0,"YOUNG, PATRICK M"
