YearTerm,CrsPBADept,CrsPBAColl,CrsPBADiv,Subject,Course,CourseTitle,Level,CrsLvlNum,Activity_Type,Instruction_Mode,Hours,N_EOT,N_ENROLL,N_GRADE,PCT_GRADE,AVG_GRD,PCT_A,PCT_B,PCT_C,PCT_D,PCT_F,PCT_C_MINUS_OR_BELOW,PCT_DF,PCT_WDRAW,PCT_INCOMP,N_PASS,N_NOCRED,N_INCOMP,Workload_Raw,Workload_Hrs_Wk,AvgCourse,AvgInstructor,N_Ret,NIntrFCQ,RAP,Honors,insname1
20067,CHEM,AS,NS,CHEM,1011,ENVIRONMENTAL CHEM 1,Lower,1XXX,LEC - Lecture,,3,183,187,183,100%,2.53,23%,33%,26%,10%,7%,23%,17%,2%,0%,0,0,0,2.11,4-6,4.25,4.52,111,1,0,0,"WISE, MATTHEW ERIC"
20067,CHEM,AS,NS,CHEM,1021,INTRODUCTORY CHEMISTRY,Lower,1XXX,LEC - Lecture,,4,243,263,242,100%,2.01,10%,29%,28%,18%,15%,36%,33%,8%,0%,0,0,1,3.03,7-9,4.33,5.11,154,1,0,0,"KELLY, CHRISTINE MINA"
20067,CHEM,AS,NS,CHEM,1111,GENERAL CHEMISTRY 1 GT-SC1,Lower,1XXX,LEC - Lecture,,5,247,260,247,100%,2.12,14%,26%,31%,15%,14%,34%,29%,5%,0%,0,0,0,4.05,10-12,4.41,5.07,183,2,0,0,"BIERBAUM, VERONICA"
20067,CHEM,AS,NS,CHEM,1111,GENERAL CHEMISTRY 1 GT-SC1,Lower,1XXX,LEC - Lecture,,5,159,172,159,100%,2.24,17%,25%,36%,13%,10%,30%,23%,8%,0%,0,0,0,4.25,10-12,4.39,5.20,132,2,0,0,"BIERBAUM, VERONICA"
20067,CHEM,AS,NS,CHEM,1111,GENERAL CHEMISTRY 1 GT-SC1,Lower,1XXX,LEC - Lecture,,5,302,343,302,100%,2.28,16%,26%,36%,14%,8%,31%,22%,12%,0%,0,0,0,4.10,10-12,4.63,5.30,228,2,0,0,"BIERBAUM, VERONICA"
20067,CHEM,AS,NS,CHEM,1111,GENERAL CHEMISTRY 1 GT-SC1,Lower,1XXX,LEC - Lecture,,5,27,29,27,100%,2.71,19%,37%,41%,4%,0%,7%,4%,7%,0%,0,0,0,3.74,10-12,3.96,3.58,24,1,1,0,"JONAS, DAVID"
20067,CHEM,AS,NS,CHEM,1131,GENERAL CHEMISTRY 2,Lower,1XXX,LEC - Lecture,,5,224,239,224,100%,2.44,11%,42%,34%,8%,4%,24%,13%,6%,0%,0,0,0,3.83,10-12,3.91,4.01,94,1,0,0,"EICHELBERGER, BRIAN R"
20067,CHEM,AS,NS,CHEM,1151,HONORS GENERAL CHEM 1,Lower,1XXX,LEC - Lecture,,5,38,38,38,100%,2.69,26%,42%,13%,13%,5%,21%,18%,0%,0%,0,0,0,4.26,10-12,4.67,4.58,24,1,0,0,"NESBITT, DAVID"
20067,CHEM,AS,NS,CHEM,1221,ENGR GEN CHEMISTRY LAB,Lower,1XXX,MLS - Main Lab,,2,16,17,16,100%,2.57,19%,44%,25%,6%,6%,19%,13%,6%,0%,0,0,0,,,,,14,1,0,0,"MALONE, STEPHANIE M"
20067,CHEM,AS,NS,CHEM,1221,ENGR GEN CHEMISTRY LAB,Lower,1XXX,MLS - Main Lab,,2,19,20,19,100%,2.69,21%,42%,26%,11%,0%,16%,11%,5%,0%,0,0,0,4.00,10-12,,,19,1,0,0,"ABDELHAQ, MIRVAT"
